관광지명,group_1,group_1_tag,group_2,group_2_tag,group_3,group_3_tag,group_4,group_4_tag,group_5,group_5_tag,Group,group1,group2,group3,group4,group5
낙천리아홉굿의자마을,3.0,"['동반', '맑음', '가을']",8.0,"['맑음', '휴식', '힐링', '어린이', '관광지', '관광', '무장애', '동반']",6.0,"['관광지', '관광', '동반', '무장애', '문화', '어린이']",8.0,"['관광', '마을', '어린이', '맑음', '관광지', '산책', '동반', '무장애']",5.0,"['문화', '관광', '맑음', '동반', '화관']",8.0,0,1,0,1,0
낙천아홉굿마을 의자공원,5.0,"['자연', '경관', '친구', '맑음', '커플']",14.0,"['경관', '포토', '커플', '자연', '맑음', '스팟', '휴식', '친구', '힐링', '부모', '어린이', '관광', '사계절', '치유']",4.0,"['관광', '테마', '사계절', '어린이']",8.0,"['체험', '관광', '마을', '어린이', '맑음', '커플', '친구', '산책']",4.0,"['관광', '경관', '맑음', '자연']",14.0,0,1,0,0,0
낙타트래킹,2.0,"['친구', '커플']",2.0,"['커플', '친구']",0.0,,4.0,"['체험', '레저', '커플', '친구']",0.0,,4.0,0,0,0,1,0
난드르바당,1.0,['동반'],1.0,['동반'],4.0,"['카페', '식당', '동반', '음식']",1.0,['동반'],3.0,"['식당', '카페', '동반']",4.0,0,0,1,0,0
난산리다방,1.0,['동반'],1.0,['동반'],3.0,"['카페', '식당', '동반']",1.0,['동반'],3.0,"['식당', '카페', '동반']",3.0,0,0,1,0,1
남내소,4.0,"['자연', '경관', '친구', '커플']",9.0,"['경관', '포토', '커플', '자연', '스팟', '휴식', '친구', '힐링', '어린이']",1.0,['어린이'],4.0,"['체험', '어린이', '커플', '친구']",2.0,"['경관', '자연']",9.0,0,1,0,0,0
남문지못,2.0,"['자연', '경관']",3.0,"['경관', '자연', '관광']",2.0,"['관광', '문화']",1.0,['관광'],8.0,"['문화', '유적지', '관광', '역사', '유적', '경관', '자연', '화관']",8.0,0,0,0,0,1
남수각 하늘길 벽화거리,3.0,"['도보', '경관', '커플']",5.0,"['경관', '포토', '커플', '스팟', '관광']",2.0,"['관광', '문화']",2.0,"['관광', '커플']",4.0,"['문화', '관광', '경관', '화관']",5.0,0,1,0,0,0
남원 위미2리 어촌계,2.0,"['경관', '올레']",5.0,"['경관', '포토', '스팟', '해변', '관광']",1.0,['관광'],3.0,"['체험', '관광', '해변']",3.0,"['관광', '해변', '경관']",5.0,0,1,0,0,0
남원큰엉해변,3.0,"['자연', '경관', '맑음']",9.0,"['경관', '포토', '자연', '맑음', '스팟', '해변', '관광지', '여름', '관광']",2.0,"['관광지', '관광']",5.0,"['관광', '맑음', '관광지', '해변', '여름']",5.0,"['관광', '해변', '경관', '맑음', '자연']",9.0,0,1,0,0,0
남원항 (남원포구),3.0,"['자연', '경관', '맑음']",8.0,"['경관', '포토', '자연', '맑음', '스팟', '관광지', '관광', '사계절']",4.0,"['관광지', '관광', '문화', '사계절']",3.0,"['관광', '맑음', '관광지']",8.0,"['문화', '유적지', '관광', '역사', '유적', '경관', '맑음', '자연']",8.0,0,1,0,0,1
납읍난대림 금산공원,4.0,"['걷기', '자연', '등산', '경관']",3.0,"['경관', '자연', '여름']",0.0,,1.0,['여름'],2.0,"['경관', '자연']",4.0,1,0,0,0,0
내창트레킹,6.0,"['걷기', '자연', '등산', '경관', '친구', '맑음']",5.0,"['경관', '자연', '맑음', '친구', '관광']",1.0,['관광'],4.0,"['체험', '관광', '맑음', '친구']",4.0,"['관광', '경관', '맑음', '자연']",6.0,1,0,0,0,0
너는파라다이스길리,1.0,['동반'],1.0,['동반'],8.0,"['카페', '라떼', '식당', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,['동반'],4.0,"['식당', '카페', '동반', '치즈']",8.0,0,0,1,0,0
너도나도 ATV,1.0,['맑음'],3.0,"['맑음', '관광', '사계절']",2.0,"['관광', '사계절']",3.0,"['체험', '관광', '맑음']",2.0,"['관광', '맑음']",3.0,0,1,0,1,0
너븐숭이 4.3기념관,3.0,"['자연', '경관', '봄']",5.0,"['경관', '자연', '부모', '관광', '무장애']",6.0,"['실내', '관광', '박물관', '무장애', '미술', '문화']",4.0,"['관광', '마을', '산책', '무장애']",7.0,"['문화', '관광', '역사', '유적', '경관', '자연', '화관']",7.0,0,0,0,0,1
넌걸어난탈래,4.0,"['친구', '맑음', '커플', '가을']",3.0,"['커플', '맑음', '친구']",0.0,,5.0,"['체험', '레저', '맑음', '커플', '친구']",1.0,['맑음'],5.0,0,0,0,1,0
노루생태관찰원,3.0,"['자연', '경관', '맑음']",7.0,"['경관', '자연', '맑음', '어린이', '관광지', '관광', '무장애']",4.0,"['관광지', '관광', '무장애', '어린이']",7.0,"['체험', '레저', '관광', '어린이', '맑음', '관광지', '무장애']",4.0,"['관광', '경관', '맑음', '자연']",7.0,0,1,0,1,0
