관광지명,Group4,Group4_tag,group4_1,group4_1_tag,group4_2,group4_2_tag,group4_3,group4_3_tag
카카오패밀리 로이인더정글카밀라스,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
클럽나인브릿지,1,"['체험', '레저']",1.0,['레저'],1.0,['레저'],1.0,['레저']
타오하우스,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
탐라승마장,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
탑동,1,"['해변', '여름']",0.0,,1.0,"['여름', '해변']",0.0,
텐타임즈,1,['체험'],0.0,,0.0,,0.0,
파인더웨이브,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
팜핑제주,1,['캠핑'],0.0,,1.0,['캠핑'],1.0,['캠핑']
핀크스 골프클럽,1,"['체험', '레저']",1.0,['레저'],1.0,['레저'],1.0,['레저']
하도 어촌 체험 마을,1,['체험'],0.0,,0.0,,0.0,
하례점빵,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
하효살롱 협동조합,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
함덕스쿠버,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
해빛다이브,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
행복공방 에치비,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
행원육상양식단지,1,"['산책', '해변']",1.0,['산책'],1.0,['해변'],0.0,
홀리데이 다이빙 코리아,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
휘닉스 르쏠레이테라피,1,['체험'],0.0,,0.0,,0.0,
